ira_id,dataset,model,variant,task_type,repo,pair_id,rouge1,rougeL,bleu,meteor,bertscore_f1,cosine,generated,reference_doc
0,code_review,groq,v3_template,doc_generation,VoltDB/voltdb,code_review:df61f7404e,0.1379,0.1149,0.0147,0.1445,0.8371,0.2949,"/**
 * Verifies that the provided credentials are always the same as the stored credentials.
 * @param username The username to verify.
 * @return true if the credentials are the same, false otherwise.
 * @throws NullPointerException if the username is null.
 */","    /**
     * Synchronously invoke a procedure call blocking until a result is available.
     * @param batchTimeout procedure invocation batch timeout.
     * @param procName class name (not qualified by package) of the procedure to execute.
     * @param parameters vararg list of procedure's parameter values.
     * @return array of VoltTable results.
     * @throws org.voltdb.client.ProcCallException
     * @throws NoConnectionsException
     */"
1,code_review,groq,v3_template,doc_generation,micronaut-projects/micronaut-core,code_review:52afb76b5e,0.0,0.0,0.0078,0.1376,0.7847,0.2428,"/**
 * Finds the first date matching the given name and returns it as a ZonedDateTime in GMT.
 * @param name the name to find a date for
 * @return an Optional containing the ZonedDateTime if found, otherwise an empty Optional
 * @throws DateTimeParseException if the date string is not in the correct format
 */","    /**
     * {@code ""Bearer ""}.
     */"
2,code_review,groq,v3_template,doc_generation,apache/carbondata,code_review:a223f6ca97,0.0513,0.0513,0.0108,0.1339,0.8348,0.3533,"/**
 * Initializes a new instance of the CarbonProperties class.
 * @param none No parameters are required for this method.
 * @return none This method does not return any value.
 * @throws Exception If an error occurs during initialization.
 */","  /**
   * Boolean type properties default value
   */"
3,code_review,groq,v3_template,doc_generation,line/armeria,code_review:13ca552a37,0.0606,0.0606,0.0322,0.1316,0.8368,0.4152,"/**
 * Unwraps the client request context.
 * @param none none
 * @return the unwrapped client request context
 */","    /**
     * @param ctx used to parse http properties
     * @param headersBuilder receives headers injected by {@link HttpClientHandler#handleSend(brave.http.HttpClientRequest)}.
     */"
4,code_review,groq,v3_template,doc_generation,vaadin/flow,code_review:4207ea3963,0.2588,0.1882,0.0105,0.1282,0.8251,0.6523,"/**
 * Initializes a new VaadinSession instance with the given VaadinService.
 * @param service The VaadinService instance to use for this session.
 * @return This VaadinSession instance.
 * @throws NullPointerException if the service is null.
 */","    /**
     * Checks whether the session is properly initialized/in use.
     * <p>
     * The session is initialized if
     * {@link #refreshTransients(WrappedSession, VaadinService)} has been called
     * for it. If the session is just created or deserialized but not yet in
     * real use then it's not initialized and it's state is incomplete.
     * 
     * @return whether the session is initialized
     */"
5,code_review,groq,v3_template,doc_generation,realm/realm-java,code_review:6af8103326,0.0,0.0,0.0116,0.084,0.8247,0.1123,"/**
 * Called when the schema of the Realm has changed.
 * @param callback The callback object that triggered the schema change.
 * @return The refreshed Realm schema.
 * @throws Exception if an error occurs while refreshing the schema.
 */","    /**
     * Thread pool executor used for write operations - only one thread is needed as writes cannot
     * be parallelized.
     */"
6,code_review,groq,v3_template,doc_generation,apache/skywalking,code_review:055c0b3248,0.0,0.0,0.0163,0.2083,0.8141,0.05,"/**
 * Tests the serialization of a ServiceResetCommand.
 * @param command the ServiceResetCommand to serialize
 * @return the serialized Command
 * @throws Exception if serialization fails
 */","/**
 * @author jsbxyyx
 */"
7,code_review,groq,v3_template,doc_generation,bndtools/bnd,code_review:cb14ce66b6,0.2837,0.1844,0.0128,0.1938,0.8234,0.3761,"/**
 * Returns the file extension from a given file name, or a default value if the file name does not have an extension.
 * @param fileName the file name to extract the extension from
 * @param deflt the default value to return if the file name does not have an extension
 * @return the file extension, or the default value if the file name does not have an extension
 * @throws Exception None
 */","	/**
	 * Creates a symbolic link from {@code link} to the {@code target}, or
	 * copies {@code target} to {@code link} if running on Windows.
	 * <p>
	 * Creating symbolic links on Windows requires administrator permissions, so
	 * copying is a safer fallback.
	 *
	 * @param link the location of the symbolic link, or destination of the
	 *            copy.
	 * @param target the target of the symbolic link, or source of the copy.
	 * @return {@code true} if the operation succeeds, {@code false} otherwise.
	 */"
8,code_review,groq,v3_template,doc_generation,cdapio/cdap,code_review:932f0f7414,0.2222,0.1481,0.021,0.2193,0.8716,0.646,"/**
 * Initializes a new instance of the ServiceWorkerTwillRunnable class with the specified ServiceWorker.
 * @param worker The ServiceWorker instance to be used.
 */","/**
 * {@link TwillRunnable} to run a {@link ServiceWorker}.
 */"
9,code_review,groq,v3_template,doc_generation,vaticle/typedb,code_review:0eae1ce0ac,0.0,0.0,0.0128,0.1705,0.8218,0.0487,"/**
 * Creates a new instance of UndefineQueryImpl.
 * @param varPatterns A list of VarPatternAdmin objects.
 * @param tx The Grakn transaction, or null if none.
 * @return A new instance of UndefineQueryImpl.
 */","/**
 * @author Felix Chapman
 */"
