variant,pair_id,repo,ground_truth,generated,status,rouge1,rougeL,bertscore
v1_minimal,0,apache/flink,"	/**
	 * Configures how to partition records from Flink's partitions into Kafka's partitions.
	 *
	 * <p>This strategy ensures that each Flink partition ends up in one Kafka partition.
	 *
	 * <p>Note: One Kafka partition can contain multiple Flink partitions. Examples:
	 *
	 * <p>More Flink partitions than Kafka partitions. Some (or all) Kafka partitions contain
	 * the output of more than one flink partition:
	 * <pre>
	 *     Flink Sinks            Kafka Partitions
	 *         1    ----------------&gt;    1
	 *         2    --------------/
	 *         3    -------------/
	 *         4    ------------/
	 * </pre>
	 *
	 *
	 * <p>Fewer Flink partitions than Kafka partitions:
	 * <pre>
	 *     Flink Sinks            Kafka Partitions
	 *         1    ----------------&gt;    1
	 *         2    ----------------&gt;    2
	 *                                      3
	 *                                      4
	 *                                      5
	 * </pre>
	 *
	 * @see org.apache.flink.streaming.connectors.kafka.partitioner.FlinkFixedPartitioner
	 */","```java
/**
 * Configures the Kafka consumer to start consuming messages from a specific offset for a given partition.
 * 
 * @param partition the partition number for which to start consuming from a specific offset
 * @param specificOffset the specific offset from which to start consuming messages
 * @return this instance for method chaining
 */
public Kafka startFromSpecificOffset(int partition, long specificOffset) {
    this.startupMode = StartupMode.SPECIFIC_OFFSETS;
    if (this.specificOffsets == null) {
        this.specificOffsets = new HashMap<>();
    }
    this.specificOffsets.put(partition, specificOffset);
    return this;
}
```",ok,0.1356,0.113,0.7862
v1_minimal,1,sleuthkit/autopsy,"    /**
     * Verify the ICCID (Integrated Circuit Card Identifier) number and
     * normalize format.
     *
     * E.118 defines as up to 22 digits long including luhn check digit while
     * GSM Phase 1 defines it as a 20 digit operator specific structure. They
     * begin with 89 which is the ISO 7812 Major Industry Identifier for
     * telecommunication, followed by a contry code of 1-3 digits as definted by
     * ITU-T E.164, followed by issuer identifier 1-4 digits, followed by 1 luhn
     * checksum digit (sometimes omitted). The hexidecimal digit F is used as
     * filler when necessary in GSM Phase 1 specification.
     *
     * 18 digits appears to be the shortest ICCID in use.
     *
     * @param data The string to normalize and validate
     *
     * @return the data with common number seperators removed and lower cased if
     *         the data was determined to be a possible ICCID
     *
     * @throws CorrelationAttributeNormalizationException if the data was not a
     *                                                    valid ICCID
     */","```java
/**
 * Normalizes the provided USB ID data.
 * 
 * This method currently simply returns the input data, but it is intended to be replaced with a proper validation and normalization routine in the future.
 * 
 * @param data the USB ID data to be normalized
 * @return the normalized USB ID data
 * @throws CorrelationAttributeNormalizationException if an error occurs during normalization
 */
private static String normalizeUsbId(String data) throws CorrelationAttributeNormalizationException {
    //TODO replace with correct usb id validation at a later date
    return data;
}
```",ok,0.2793,0.1802,0.8192
v1_minimal,2,realm/realm-java,"    /**
     * Links the current user with a new user identity represented by the given credentials.
     * <p>
     * Linking a user with more credentials, mean the user can login either of these credentials.
     * It also makes it possible to ""upgrade"" an anonymous user by linking it with e.g.
     * Email/Password credentials.
     * <pre>
     * {@code
     * // Example
     * RealmApp app = new RealmApp(""app-id"")
     * RealmUser user = app.login(RealmCredentials.anonymous());
     * app.linkUser(RealmCredentials.emailPassword(""email"", ""password""));
     * }
     * </pre>
     * <p>
     * Note: It is not possible to link two existing users of MongoDB Realm. The provided credentials
     * must not have been used by another user.
     *
     * @param credentials the credentials to link with the current user.
     * @throws IllegalStateException if no user is currently logged in.
     * @return the {@link io.realm.RealmUser} the credentials were linked to.
     */","```java
/**
 * Switches the current user to the specified user.
 *
 * @param user The user to switch to. Must not be null.
 * @return The user that was switched to.
 * @throws NullPointerException if the user is null.
 */
public RealmUser switchUser(RealmUser user) {
    Util.checkNull(user, ""user"");
    nativeSwitchUser(nativePtr, user.osUser.getNativePtr());
    return user;
}
```",ok,0.3295,0.2045,0.854
v1_minimal,3,apache/flink,"	/**
	 * Reads all the bytes from a file. The method ensures that the file is
	 * closed when all bytes have been read or an I/O error, or other runtime
	 * exception, is thrown.
	 *
	 * <p>This is an implementation that follow {@link java.nio.file.Files#readAllBytes(java.nio.file.Path)},
	 * and the difference is that it limits the size of the direct buffer to avoid
	 * direct-buffer OutOfMemoryError. When {@link java.nio.file.Files#readAllBytes(java.nio.file.Path)}
	 * or other interfaces in java API can do this in the future, we should remove it.
	 *
	 * @param path
	 *        the path to the file
	 * @return a byte array containing the bytes read from the file
	 *
	 * @throws IOException
	 *         if an I/O error occurs reading from the stream
	 * @throws OutOfMemoryError
	 *         if an array of the required size cannot be allocated, for
	 *         example the file is larger that {@code 2GB}
	 */","```java
/**
 * Reads the contents of a file into a string.
 * 
 * This method reads the entire file into memory and returns its contents as a string.
 * The character encoding used to decode the bytes is specified by the provided charset name.
 * 
 * @param file the file to read from
 * @param charsetName the name of the character encoding to use for decoding the bytes
 * @return the contents of the file as a string
 * @throws IOException if an I/O error occurs while reading the file
 */
public static String readFile(File file, String charsetName) throws IOException {
    byte[] bytes = readAllBytes(file.toPath());
    return new String(bytes, charsetName);
}
```",ok,0.4372,0.2672,0.8476
v1_minimal,4,apache/ambari,"  /**
   * validate cluster name character and length requirements and throw IllegalArgumentException if not valid.
   * <p>
   * Character Requirements
   * <p>
   * A through Z
   * a through z
   * 0 through 9
   * _ (underscore)
   * - (dash)
   * Length Requirements
   * <p>
   * Minimum: 1 character
   * Maximum: 100 characters
   * @see AmbariManagementControllerImpl#CLUSTER_NAME_VALIDATION_REGEXP
   *
   * @param clusterName name to validate
   * @throws IllegalArgumentException if validation result
   */","```java
/**
 * Validates the provided cluster name.
 * 
 * The cluster name is checked for the following conditions:
 * <ul>
 *   <li>It should not be null.</li>
 *   <li>It should not be empty.</li>
 *   <li>It should match the regular expression defined by {@link #CLUSTER_NAME_VALIDATION_REGEXP},
 *       which allows only alphabetical, numeric, '_' and '-' characters, and has a length of 1-100 characters.</li>
 * </ul>
 * 
 * @param clusterName the cluster name to be validated
 * @throws IllegalArgumentException if the cluster name is invalid
 */
public static void validateClusterName(String clusterName) {
    if (clusterName == null) {
      throw new IllegalArgumentException(""Invalid arguments, cluster name should not be null"");
    }
    if (clusterName.isEmpty()) {
      throw new IllegalArgumentException(""Invalid arguments, cluster name should not be empty"");
    }
    Pattern clusterNamePtrn = Pattern.compile(CLUSTER_NAME_VALIDATION_REGEXP);
    Matcher mtch = clusterNamePtrn.matcher(clusterName);
    if(!mtch.matches()){
      throw new IllegalArgumentException(""Invalid arguments, cluster name should contains only alphabetical, numeric, '_' and '-' characters and length 1-100 characters"");
    }
}
```

Note that I've used the Javadoc tag `@throws` to document the exception that is thrown when the cluster name is invalid. I've also used a bulleted list to make the conditions easier to read. Additionally, I've assumed that `CLUSTER_NAME_VALIDATION_REGEXP` is a static field that contains the regular expression pattern. If it's not, you should replace it with the actual regular expression pattern.",ok,0.2463,0.1567,0.8416
v1_minimal,5,apache/flink,"	/**
	 * Reads all the bytes from an input stream. Uses {@code initialSize} as a hint
	 * about how many bytes the stream will have and uses {@code directBufferSize}
	 * to limit the size of the direct buffer used to read.
	 *
	 * @param source
	 *        the input stream to read from
	 * @param initialSize
	 *        the initial size of the byte array to allocate
	 * @param maxDirectBufferSize
	 *        the maximum size of the direct buffer used to read
	 * @return a byte array containing the bytes read from the file
	 *
	 * @throws IOException
	 *         if an I/O error occurs reading from the stream
	 * @throws OutOfMemoryError
	 *         if an array of the required size cannot be allocated
	 */","```java
/**
 * Reads the contents of a file into a string, using the specified character set.
 * 
 * @param file the file to read from
 * @param charsetName the name of the character set to use for decoding the file contents
 * @return the contents of the file as a string
 * @throws IOException if an I/O error occurs while reading the file
 */
public static String readFile(File file, String charsetName) throws IOException {
    byte[] bytes = readAllBytes(file.toPath());
    return new String(bytes, charsetName);
}
```

Note: The `readAllBytes()` method is not a standard Java method. It seems like it's a custom method that reads the entire file into a byte array. If that's the case, you might want to include a Javadoc comment for that method as well. 

Here's an example:

```java
/**
 * Reads the entire contents of a file into a byte array.
 * 
 * @param file the file to read from
 * @return the contents of the file as a byte array
 * @throws IOException if an I/O error occurs while reading the file
 */
public static byte[] readAllBytes(Path file) throws IOException {
    // implementation
}
```",ok,0.4214,0.2857,0.8333
v1_minimal,6,ballerina-platform/ballerina-lang,"    /**
     * <p>
     * Parse module variable declaration.
     * </p>
     *
     * <code>
     * module-var-decl := module-init-var-decl | module-no-init-var-decl
     * <br/><br/>
     * module-init-var-decl := metadata isolated-final-quals typed-binding-pattern = expression ;
     * <br/><br/>
     * module-no-init-var-decl := metadata [final] type-descriptor variable-name ;
     * <br/><br/>
     * isolated-final-quals := (final | isolated-qual)*
     * </code>
     *
     * @param metadata           Preceding metadata
     * @param topLevelQualifiers Preceding top level qualifiers
     * @return Parsed node
     */","```java
/**
 * Parses a module variable declaration.
 * 
 * This method is a specialized version of {@link #parseVariableDecl(STNode, List, List, boolean)} 
 * that assumes the module variable declaration has no parameters.
 * 
 * @param metadata the metadata for the module variable declaration
 * @return the parsed module variable declaration
 */
private STNode parseModuleVarDecl(STNode metadata) {
    List<STNode> emptyList = new ArrayList<>();
    return parseVariableDecl(metadata, emptyList, emptyList, true);
}
```",ok,0.252,0.1732,0.8183
v1_minimal,7,DSpace/DSpace,"    /**
     * Deletes an EPerson. The argument cascade defines whether all references
     * on an EPerson should be deleted as well (by either deleting the
     * referencing object - e.g. WorkspaceItem, ResourcePolicy - or by setting
     * the foreign key null - e.g. archived Items). If cascade is set to false
     * and the EPerson is referenced somewhere, this leads to an
     * AuthorizeException. EPersons may be referenced by Items, ResourcePolicies
     * and workflow tasks.
     *
     * @param context DSpace context
     * @param ePerson The EPerson to delete.
     * @param cascade Whether to delete references on the EPerson (cascade =
     * true) or to abort the deletion (cascade = false) if the EPerson is
     * referenced within DSpace.
     *
     * @throws SQLException
     * @throws AuthorizeException
     * @throws IOException
     */","```java
/**
 * Retrieves the count of search results for a given query.
 * 
 * This method searches for ePerson records based on the provided query and returns the count of matching records.
 * The search is performed on the 'firstname' and 'lastname' fields of the ePerson metadata.
 * 
 * @param context the application context
 * @param query the search query (may be null or empty to retrieve all records)
 * @return the count of search results
 * @throws SQLException if an error occurs while executing the query
 */
public int searchResultCount(Context context, String query) throws SQLException {
    MetadataField firstNameField = metadataFieldService.findByElement(context, ""eperson"", ""firstname"", null);
    MetadataField lastNameField = metadataFieldService.findByElement(context, ""eperson"", ""lastname"", null);
    if (StringUtils.isBlank(query)) {
        query = null;
    }
    return ePersonDAO.searchResultCount(context, query, Arrays.asList(firstNameField, lastNameField));
}
```",ok,0.3022,0.1778,0.8264
v1_minimal,8,apache/kafka,"    /**
     * Get metadata about partitions for all topics that the user is authorized to view. This method will issue a
     * remote call to the server.
     *
     * @param timeout The maximum time this operation will block
     *
     * @return The map of topics and its partitions
     * @throws org.apache.kafka.common.errors.TimeoutException if time spent blocking exceeds the {@code timeout}
     * @throws org.apache.kafka.common.errors.WakeupException if {@link #wakeup()} is called before or while this
     *             function is called
     * @throws org.apache.kafka.common.errors.InterruptException if the calling thread is interrupted before or while
     *             this function is called
     * @throws org.apache.kafka.common.errors.TimeoutException if the topic metadata could not be fetched before
     *             expiration of the configured request timeout
     * @throws org.apache.kafka.common.KafkaException for any other unrecoverable errors
     */","```java
/**
 * Retrieves the committed offset and metadata for the specified topic partition.
 * 
 * This method will block until the committed offset is successfully retrieved.
 * 
 * @param partition the topic partition for which to retrieve the committed offset
 * @return the committed offset and metadata for the specified topic partition
 */
public OffsetAndMetadata committed(TopicPartition partition) {
    acquireAndEnsureOpen();
    try {
        Map<TopicPartition, OffsetAndMetadata> offsets = null;
        while (offsets == null) {
            offsets = coordinator.fetchCommittedOffsets(
                Collections.singleton(partition),
                Long.MAX_VALUE
            );
        }
        return offsets.get(partition);
    } finally {
        release();
    }
}
```",ok,0.2745,0.1471,0.8426
v1_minimal,9,ReactiveX/RxJava,"    /**
     * Assert that the TestSubscriber contains the given first and optional rest values exactly
     * and if so, clears the internal list of values.
     * <p>
     * <code><pre>
     * TestSubscriber ts = new TestSubscriber();
     * 
     * ts.onNext(1);
     * 
     * ts.assertAndConsume(1);
     * 
     * ts.onNext(2);
     * ts.onNext(3);
     * 
     * ts.assertAndConsume(2, 3); // no mention of 1
     * </pre></code>
     * @param expectedFirstValue the expected first value
     * @param expectedRestValues the optional rest values
     */","```java
/**
 * Asserts that the current state of the collection matches the expected values and consumes the collection.
 * 
 * @param expectedFirstValue the expected first value in the collection
 * @param expectedRestValues the expected rest of the values in the collection
 * 
 * @throws AssertionError if the actual collection state does not match the expected values
 */
public final void assertAndConsume(T expectedFirstValue, T... expectedRestValues) {
    int n = 1 + expectedRestValues.length;
    assertValueCount(n);
    assertItem(expectedFirstValue, 0);
    for (int i = 0; i < expectedRestValues.length; i++) {
        assertItem(expectedRestValues[i], i + 1);
    }
    values.clear();
}
```

This Javadoc comment provides a clear description of the method's purpose and behavior, including the expected input parameters and any potential exceptions that may be thrown. It also follows standard JavaDoc conventions for formatting and style.",ok,0.2951,0.1967,0.8549
