method,prompt_id,n,bertscore_f1_mean,bertscore_f1_sd
persona_cot+meta,3,2,0.8481,0.0094
persona_cot+meta,4,2,0.8188,0.0205
persona_cot+meta,1,4,0.8186,0.0258
persona_cot+meta,2,4,0.8107,0.0135
persona_cot+meta,0,2,0.8,0.0241
persona_fewshot+meta,0,7,0.8416,0.0212
persona_fewshot+meta,4,4,0.8385,0.0145
persona_fewshot+meta,2,7,0.8335,0.0103
persona_zeroshot,3,3,0.8492,0.0163
persona_zeroshot,1,5,0.8409,0.0188
persona_zeroshot,0,8,0.8331,0.0117
persona_zeroshot,4,6,0.8317,0.021
persona_zeroshot,2,6,0.8284,0.0297
persona_zeroshot+meta,4,4,0.8423,0.0143
persona_zeroshot+meta,0,3,0.8383,0.0057
persona_zeroshot+meta,3,5,0.8379,0.0384
persona_zeroshot+meta,2,5,0.8329,0.0111
persona_zeroshot+meta,1,2,0.8309,0.0161
